Warning: log contains only data that is read by python using read_line. If read_line is not called, data will not be logged! 
 ### Serial Log ### 
[2023-09-30 20:43:40.048340] OUT: getcurr -sched 35000000
[2023-09-30 20:43:40.049097] IN: >> getcurr -sched 35000000
[2023-09-30 20:43:40.059674] IN: SCHED_OK
[2023-09-30 20:43:40.059780] OUT: getcurr -sched 35500000
[2023-09-30 20:43:40.060865] IN: >> getcurr -sched 35500000
[2023-09-30 20:43:40.073284] IN: SCHED_OK
[2023-09-30 20:43:40.073366] OUT: getcurr -sched 36000000
[2023-09-30 20:43:40.074454] IN: >> getcurr -sched 36000000
[2023-09-30 20:43:40.087234] IN: SCHED_OK
[2023-09-30 20:43:40.087303] OUT: getcurr -sched 36500000
[2023-09-30 20:43:40.088232] IN: >> getcurr -sched 36500000
[2023-09-30 20:43:40.098913] IN: SCHED_OK
[2023-09-30 20:43:40.098958] OUT: getcurr -sched 37000000
[2023-09-30 20:43:40.099707] IN: >> getcurr -sched 37000000
[2023-09-30 20:43:40.112385] IN: SCHED_OK
[2023-09-30 20:43:40.112433] OUT: getcurr -sched 37500000
[2023-09-30 20:43:40.113062] IN: >> getcurr -sched 37500000
[2023-09-30 20:43:40.125827] IN: SCHED_OK
[2023-09-30 20:43:40.125894] OUT: getcurr -sched 38000000
[2023-09-30 20:43:40.126761] IN: >> getcurr -sched 38000000
[2023-09-30 20:43:40.139426] IN: SCHED_OK
[2023-09-30 20:43:40.139468] OUT: getcurr -sched 38500000
[2023-09-30 20:43:40.140102] IN: >> getcurr -sched 38500000
[2023-09-30 20:43:40.152855] IN: SCHED_OK
[2023-09-30 20:43:40.152921] OUT: getcurr -sched 39000000
[2023-09-30 20:43:40.153814] IN: >> getcurr -sched 39000000
[2023-09-30 20:43:40.164880] IN: SCHED_OK
[2023-09-30 20:43:40.164930] OUT: getcurr -sched 39500000
[2023-09-30 20:43:40.165560] IN: >> getcurr -sched 39500000
[2023-09-30 20:43:40.177725] IN: SCHED_OK
[2023-09-30 20:43:40.177770] OUT: getcurr -sched 40000000
[2023-09-30 20:43:40.178529] IN: >> getcurr -sched 40000000
[2023-09-30 20:43:40.191293] IN: SCHED_OK
[2023-09-30 20:43:40.191359] OUT: getcurr -sched 40500000
[2023-09-30 20:43:40.192274] IN: >> getcurr -sched 40500000
